Average Skill Number:,26.096774193548388,Job:,Chinese-English Translator
ID,NAME,SKILL NAMES, EDUCATION LEVEL, AGE, PHONE NUMBER
4,Mabon Towsend,Architecture;BSD;C++;Drums;English;Esperanto;Git;Graphical Design;Guitar;Japanese;Java;Korean;MatLab;Military;Objective C;Octave;Orchestra;Plumbing;Police;Portuguese;Python;Server Maintenance;Soldering;Spanish;Speaking;Translation;Unix;Violin;Windows;Writing,High School,21,252884414
71,Jorge Folson Butz Domingo,Component-level Repair;Drums;English;Esperanto;Git;Graphical Design;Journalism;MIPS Assembly;MatLab;Network Security;Orchestra;Portuguese;Server Maintenance;Spanish;Speaking;Translation;Windows,High School,19,779839821
23,Wolski,BSD;Ballet;Bash;C;C#;C++;Chinese;Component-level Repair;Drums;Guitar;Japanese;Java;Korean;Linux;Lua;MatLab;Mathematics;Medicine;Network Security;Objective C;Octave;Orchestra;PR;Plumbing;Portuguese;Python;Reading;Server Maintenance;Soldering;Spanish;Translation;Unix;Violin;Windows,None,21,830734745
92,Kendra Evalyn Birdie Mash,Bash;Bass;Biology;Biotechnology;Chinese;Component-level Repair;Drums;Esperanto;Git;Graphical Design;Journalism;Linux;Lua;MIPS Assembly;Mathematics;Military;Objective C;Octave;Orchestra;Police;Portuguese;Reading;Server Maintenance;Spanish;Translation;Windows;Writing,High School,19,185014223
99,Tiara,Architecture;BSD;C++;Chinese;Drums;English;Graphical Design;Guitar;Japanese;Java;Journalism;MatLab;Mathematics;Military;Octave;PR;Police;Portuguese;Python;Soldering;Spanish;Speaking;Writing,Doctorate,22,133274678
35,Evalyn,Bash;Bass;Biology;C#;C++;Component-level Repair;Drums;Git;Graphical Design;Japanese;Java;Korean;Linux;MIPS Assembly;Mathematics;Network Security;Objective C;Octave;Orchestra;PR;Plumbing;Police;Portuguese;Python;Reading;Server Maintenance;Spanish;Speaking;Translation;Unix;Windows;Writing,Master's Degree,20,637620557
44,Kellie Jennell Martim Sage,Architecture;BSD;Ballet;Bash;Biology;Biotechnology;C;Component-level Repair;English;Graphical Design;Guitar;Japanese;Lua;MIPS Assembly;MatLab;Mathematics;Military;Objective C;Octave;Orchestra;Plumbing;Police;Server Maintenance;Spanish;Speaking;Translation;Violin;Windows;iOS,Doctorate,24,034871159
40,Degen Mash Griselia,Architecture;Component-level Repair;Drums;English;Esperanto;Guitar;Japanese;Java;Journalism;MIPS Assembly;MatLab;Mathematics;Military;Network Security;Objective C;PR;Plumbing;Police;Server Maintenance;Soldering;Spanish;Speaking;Translation;Violin;Windows;Writing,Doctorate,21,032503654
3,Derek Margy Mario Jorge,Architecture;Ballet;Bash;Bass;Biology;Biotechnology;C#;C++;Component-level Repair;Drums;English;MIPS Assembly;Mathematics;Network Security;Objective C;Octave;Reading;Server Maintenance;Soldering;Spanish;Translation;Unix;Violin;Windows;Writing,High School,20,405397964
59,Sapien Reda,BSD;Ballet;Bass;Biology;Biotechnology;C;C#;Chinese;Component-level Repair;Drums;Git;Graphical Design;Guitar;Japanese;Java;Journalism;Korean;Linux;Lua;MatLab;Mathematics;Network Security;Octave;Orchestra;PR;Plumbing;Police;Portuguese;Reading;Soldering;Spanish;Speaking;Windows;Writing,High School,26,574519783
65,Butz Risch Sowards,Ballet;Bash;Bass;Biology;Biotechnology;C;C#;Chinese;Component-level Repair;English;Git;Graphical Design;Guitar;Japanese;Java;Korean;Linux;Lua;MatLab;Mathematics;Medicine;Military;Network Security;Objective C;PR;Plumbing;Police;Reading;Server Maintenance;Spanish;Unix;Windows;Writing,Master's Degree,23,768401137
88,Aronson Kendra,Architecture;BSD;Ballet;Bash;Biology;Biotechnology;C;C#;C++;Chinese;Component-level Repair;English;Graphical Design;Japanese;Journalism;Linux;Lua;MIPS Assembly;Mathematics;Medicine;Military;Network Security;Octave;Orchestra;PR;Plumbing;Police;Python;Reading;Spanish;Violin;Windows;Writing,None,26,019612224
96,Tegan Shank Mckeighan Martim,Architecture;Bash;Bass;Biology;C;C#;Chinese;Drums;Esperanto;Git;Graphical Design;Java;Journalism;Korean;Linux;Lua;MatLab;Military;Objective C;Orchestra;PR;Police;Python;Reading;Server Maintenance;Spanish;Speaking;Translation;Violin,Master's Degree,23,270409128
77,Mabon Deidre Tegan,BSD;Ballet;Biology;C;C++;Chinese;Component-level Repair;Drums;Graphical Design;Java;Journalism;Korean;Linux;MIPS Assembly;Medicine;Network Security;Orchestra;Plumbing;Police;Python;Server Maintenance;Soldering;Spanish;Translation;Unix;Windows;Writing,Master's Degree,25,440171508
70,Rone,Architecture;BSD;Bash;Bass;Biology;Chinese;Drums;English;Git;Graphical Design;Journalism;MIPS Assembly;MatLab;Military;Octave;Orchestra;Plumbing;Police;Reading;Server Maintenance;Spanish;Unix;Violin;Windows;Writing;iOS,None,25,730244228
6,Jose Mabon,Architecture;BSD;Bass;Biotechnology;C;Chinese;Drums;Git;Graphical Design;Guitar;Java;Journalism;Lua;MatLab;Military;Orchestra;PR;Plumbing;Police;Portuguese;Python;Soldering;Spanish,Master's Degree,23,162997285
18,Neeld Jacox,Architecture;Biology;Biotechnology;C;C++;Chinese;Esperanto;Git;Guitar;Japanese;Journalism;Mathematics;PR;Portuguese;Python;Reading;Server Maintenance;Soldering;Spanish;Speaking;Violin,High School,19,852064477
60,Mash,Biotechnology;C;Chinese;Esperanto;Guitar;Network Security;PR;Police;Portuguese;Soldering;Spanish,Master's Degree,20,754052775
94,Threet,Architecture;BSD;Ballet;Bass;C;English;Git;Graphical Design;Guitar;Japanese;Journalism;Korean;Linux;Lua;MIPS Assembly;MatLab;Mathematics;Network Security;Octave;Orchestra;Police;Portuguese;Reading;Server Maintenance;Soldering;Speaking;Translation;Unix;Writing;iOS,Doctorate,19,517208163
62,Alexandre Mario Towsend,Architecture;C++;Component-level Repair;English;Esperanto;Graphical Design;Guitar;Japanese;Java;Korean;MIPS Assembly;Octave;Police;Portuguese;Python;Soldering;Translation;Unix;Windows;Writing,Master's Degree,21,856377060
15,Jorge Reda Sapien,Ballet;Bash;Bass;Biology;Biotechnology;C#;C++;Component-level Repair;Drums;Esperanto;Graphical Design;Guitar;Japanese;Java;Journalism;Korean;Linux;MatLab;Mathematics;Medicine;Military;Network Security;Objective C;Octave;PR;Plumbing;Portuguese;Server Maintenance;Soldering;Spanish;Speaking;Unix;Windows;iOS,Bachelor's Degree,20,622074039
7,Jose,Architecture;Ballet;Bash;Bass;C;C#;Chinese;Drums;Git;Graphical Design;Guitar;Japanese;Java;Korean;Linux;MIPS Assembly;Mathematics;Medicine;Military;Network Security;Objective C;Orchestra;PR;Plumbing;Police;Portuguese;Python;Server Maintenance;Soldering;Speaking;Translation;Windows;Writing,None,23,348377143
58,Loux Matos Reda,Architecture;BSD;Bass;Biology;Biotechnology;C;C#;Drums;Git;Graphical Design;Japanese;Journalism;Korean;Linux;Lua;MIPS Assembly;Mathematics;Medicine;Military;Network Security;Objective C;Orchestra;Plumbing;Police;Portuguese;Reading;Soldering;Spanish;Unix;Windows;Writing,Primary School,25,776182106
33,Buss Kendra Risch,Architecture;BSD;Ballet;Biotechnology;C;Chinese;Component-level Repair;Drums;English;Esperanto;Git;Japanese;Korean;Linux;MIPS Assembly;MatLab;Mathematics;Network Security;Octave;Plumbing;Police;Portuguese;Reading;Server Maintenance;Soldering;Speaking;Unix;Violin;Windows;iOS,Master's Degree,25,690124366
36,Sherlene,Architecture;BSD;Ballet;Bass;Biology;Biotechnology;C;Component-level Repair;Graphical Design;Guitar;Japanese;Java;Journalism;Korean;Linux;Lua;Mathematics;Network Security;Objective C;Octave;Orchestra;PR;Police;Portuguese;Server Maintenance;Soldering;Spanish;Speaking;Unix;iOS,Bachelor's Degree,23,688911677
85,Kerney,Architecture;BSD;Bash;Bass;Biotechnology;C;C#;Component-level Repair;Drums;Graphical Design;Guitar;Japanese;Journalism;Korean;Linux;MatLab;Mathematics;Military;Network Security;Orchestra;Plumbing;Police;Spanish;Translation;Violin;Windows;Writing,Doctorate,20,730754374
2,Aletha Tegan Tegan An,Ballet;Biology;Biotechnology;C#;Drums;English;Graphical Design;Guitar;Journalism;Korean;Linux;Lua;MIPS Assembly;MatLab;Network Security;Objective C;Octave;Orchestra;Plumbing;Server Maintenance;Soldering;Spanish;Unix;Violin;Writing;iOS,Bachelor's Degree,26,525238686
78,Shank Luis Simon,Ballet;Bash;Bass;Biology;Biotechnology;C#;Component-level Repair;Drums;English;Esperanto;Git;Guitar;Java;Journalism;Linux;Lua;MIPS Assembly;Military;Network Security;Plumbing;Python;Reading;Server Maintenance;Spanish;Unix;iOS,None,25,799963805
81,An Martim An,Biology;English;Graphical Design;MIPS Assembly;MatLab;Mathematics;Military;Network Security;Octave;Plumbing;Spanish;Speaking;Violin;Windows;Writing,Bachelor's Degree,24,914816575
82,Luis Whitney Jennell Jennell,Ballet;Biotechnology;C++;Component-level Repair;Guitar;Linux;Lua;MatLab;Medicine;Network Security;Objective C;PR;Server Maintenance;Spanish;Translation,Primary School,23,615813486
25,Domingo,Architecture;Biology;C#;Drums;English;Esperanto;Linux;Mathematics;Server Maintenance;Spanish;Unix;iOS,Doctorate,21,247417078
