Average Skill Number:,29.81349693251534,Job:,Chinese-English Translator
ID,NAME,SKILL NAMES, EDUCATION LEVEL, AGE, PHONE NUMBER
324,Jennell Rone Shank Renee,Architecture;BSD;Bass;Biology;C;C++;Chinese;Component-level Repair;Drums;English;Esperanto;Graphical Design;Guitar;Journalism;Korean;Linux;MIPS Assembly;Medicine;Military;Network Security;Octave;Orchestra;PR;Plumbing;Portuguese;Server Maintenance;Soldering;Spanish;Speaking;Translation;Unix;Violin;Windows;iOS,Doctorate,22,940093754
4380,Afonso Kendra,Architecture;Ballet;Bash;Bass;Biology;C;C#;C++;Chinese;Component-level Repair;English;Git;Graphical Design;Guitar;Java;Journalism;Linux;Lua;MIPS Assembly;MatLab;Military;Objective C;Octave;Orchestra;PR;Plumbing;Police;Portuguese;Python;Spanish;Translation;Unix;Windows;iOS,Doctorate,22,851791786
6424,Mabon Whitney,Architecture;BSD;Biology;Biotechnology;C;C#;C++;Chinese;Component-level Repair;English;Esperanto;Guitar;Java;Korean;MIPS Assembly;MatLab;Mathematics;Medicine;Military;Network Security;PR;Plumbing;Police;Portuguese;Python;Reading;Server Maintenance;Spanish;Translation;Unix;Violin;Windows;Writing;iOS,Doctorate,19,642580426
9141,Tegan Matos Butz Margy,BSD;C;C++;Chinese;Component-level Repair;Drums;English;Esperanto;Git;Graphical Design;Guitar;Java;Journalism;Korean;Lua;MIPS Assembly;MatLab;Mathematics;Medicine;Military;Objective C;Octave;Plumbing;Police;Portuguese;Python;Server Maintenance;Spanish;Speaking;Translation;Unix;Violin;Windows;iOS,Doctorate,22,680380967
9142,Tiara An Whitney Ammerman,Architecture;BSD;Ballet;Bash;Biology;C;C++;Chinese;Component-level Repair;English;Esperanto;Guitar;Japanese;Java;Lua;MIPS Assembly;MatLab;Mathematics;Medicine;Military;Network Security;Objective C;Orchestra;PR;Plumbing;Portuguese;Python;Reading;Spanish;Speaking;Translation;Unix;Violin;iOS,Doctorate,20,089335026
10397,Martim,BSD;Bash;Bass;Biology;Biotechnology;C;Chinese;Component-level Repair;Drums;English;Git;Graphical Design;Guitar;Java;Korean;Linux;Lua;MIPS Assembly;MatLab;Medicine;Military;Network Security;Octave;Orchestra;PR;Plumbing;Police;Portuguese;Python;Soldering;Spanish;Translation;Windows;iOS,Doctorate,22,609285769
10466,Kari Jennell Kari,Architecture;Ballet;Bash;Bass;Biology;C;C#;Chinese;Component-level Repair;English;Esperanto;Java;Journalism;Korean;Lua;MIPS Assembly;MatLab;Mathematics;Medicine;Military;Network Security;Octave;Plumbing;Police;Portuguese;Python;Reading;Soldering;Spanish;Speaking;Translation;Violin;Writing;iOS,Doctorate,21,932630915
10734,Duplantis,BSD;Ballet;Bass;Biology;C;C#;Chinese;Component-level Repair;Drums;English;Esperanto;Git;Graphical Design;Guitar;Java;MIPS Assembly;MatLab;Mathematics;Military;Octave;Orchestra;PR;Portuguese;Python;Reading;Server Maintenance;Soldering;Spanish;Speaking;Translation;Unix;Violin;Windows;Writing,Doctorate,22,735114660
16821,Ngoc,Architecture;BSD;Bash;Bass;Biology;Biotechnology;C#;C++;Chinese;Component-level Repair;Drums;English;Esperanto;Git;Guitar;Java;Journalism;Linux;MatLab;Mathematics;Medicine;Objective C;Plumbing;Police;Portuguese;Python;Server Maintenance;Soldering;Spanish;Speaking;Translation;Unix;Violin;Writing,Doctorate,25,235503440
25161,Deidre Armagost Jose Threet,Architecture;BSD;Bash;Bass;Biotechnology;C#;C++;Chinese;Component-level Repair;Drums;English;Esperanto;Graphical Design;Guitar;Java;Lua;MIPS Assembly;Mathematics;Medicine;Military;Network Security;Octave;PR;Plumbing;Portuguese;Python;Reading;Server Maintenance;Spanish;Translation;Unix;Violin;Writing;iOS,Doctorate,22,692129008
27465,Kerney Matos,Architecture;BSD;Ballet;Bass;Biology;Biotechnology;C;C#;C++;Chinese;Component-level Repair;Drums;English;Esperanto;Graphical Design;Guitar;Japanese;Java;Journalism;Korean;MIPS Assembly;Network Security;Objective C;Octave;Orchestra;PR;Plumbing;Portuguese;Python;Reading;Server Maintenance;Spanish;Translation;Writing,Doctorate,24,550106198
27608,Wolski Loux,Architecture;Ballet;Bash;Bass;Biology;Biotechnology;C;C++;Chinese;Component-level Repair;Drums;English;Esperanto;Git;Guitar;Java;Linux;Lua;Mathematics;Military;Network Security;Octave;Orchestra;PR;Portuguese;Python;Server Maintenance;Soldering;Spanish;Speaking;Translation;Unix;Violin;Windows,Doctorate,25,673399659
27787,Erick Ammerman Luis Mafalda,Architecture;BSD;Bash;Bass;Biology;Biotechnology;C#;C++;Chinese;Component-level Repair;English;Guitar;Japanese;Java;Journalism;Korean;Lua;MIPS Assembly;MatLab;Mathematics;Medicine;Military;Octave;Plumbing;Portuguese;Python;Reading;Server Maintenance;Spanish;Speaking;Translation;Unix;Violin;iOS,Doctorate,22,675611099
28598,Dipalma An Margherita Shank,BSD;Ballet;Bash;Bass;Biology;Biotechnology;C#;C++;Chinese;Drums;English;Git;Graphical Design;Guitar;Japanese;Journalism;Korean;Lua;MIPS Assembly;Mathematics;Medicine;Objective C;Octave;Orchestra;PR;Plumbing;Portuguese;Reading;Spanish;Speaking;Translation;Unix;Windows;iOS,Doctorate,26,047852901
29936,Jorge Francesca Lettie,BSD;Ballet;Bash;Biology;Biotechnology;C#;Chinese;Drums;English;Graphical Design;Guitar;Japanese;Java;Journalism;Linux;Lua;MIPS Assembly;MatLab;Mathematics;Medicine;Military;Objective C;PR;Portuguese;Server Maintenance;Soldering;Spanish;Speaking;Translation;Unix;Violin;Windows;Writing;iOS,Doctorate,22,002784896
31854,Arnette Folson Buss,Architecture;BSD;Ballet;Bash;Biology;C;C#;Chinese;English;Esperanto;Git;Japanese;Journalism;Linux;MIPS Assembly;MatLab;Mathematics;Medicine;Objective C;PR;Plumbing;Police;Portuguese;Python;Reading;Server Maintenance;Soldering;Spanish;Speaking;Translation;Unix;Violin;Writing;iOS,Doctorate,23,918786868
33764,Evalyn,Architecture;BSD;Ballet;Biology;Biotechnology;C;C#;C++;Chinese;Component-level Repair;English;Esperanto;Git;Graphical Design;Guitar;Japanese;Journalism;Korean;Lua;MatLab;Orchestra;Plumbing;Portuguese;Python;Reading;Server Maintenance;Soldering;Spanish;Speaking;Translation;Unix;Windows;Writing;iOS,Doctorate,26,406587757
36139,Reda,Architecture;BSD;Biology;Biotechnology;C;C++;Chinese;Component-level Repair;Drums;English;Esperanto;Graphical Design;Guitar;Japanese;Java;Linux;Lua;MatLab;Medicine;Military;Network Security;Octave;Orchestra;PR;Plumbing;Police;Portuguese;Reading;Soldering;Spanish;Translation;Violin;Windows;iOS,Doctorate,21,204105786
37022,Driver Rone,Architecture;Ballet;Bass;Biology;C;C#;C++;Chinese;Component-level Repair;English;Git;Guitar;Java;Journalism;Korean;Linux;Lua;MIPS Assembly;MatLab;Mathematics;Military;Network Security;Objective C;Octave;Orchestra;Plumbing;Portuguese;Reading;Spanish;Speaking;Translation;Unix;Violin;Writing,Doctorate,21,665687555
38367,Ngoc Sleeper Mafalda,Architecture;BSD;Bash;Biology;Biotechnology;C#;C++;Chinese;Component-level Repair;Drums;English;Graphical Design;Japanese;Java;Journalism;Lua;MIPS Assembly;Mathematics;Medicine;Military;Network Security;Objective C;Orchestra;PR;Plumbing;Portuguese;Reading;Server Maintenance;Soldering;Spanish;Translation;Unix;Windows;iOS,Doctorate,23,916225476
40165,Sapien Ngoc,Architecture;BSD;Bash;C;C++;Chinese;Component-level Repair;Drums;English;Esperanto;Graphical Design;Guitar;Japanese;Journalism;Korean;Linux;Lua;MatLab;Mathematics;Medicine;Network Security;Octave;PR;Police;Portuguese;Reading;Soldering;Spanish;Speaking;Translation;Unix;Violin;Writing;iOS,Doctorate,20,181198806
40392,Tegan Reda,Architecture;Ballet;Bash;Bass;Biotechnology;C++;Chinese;Component-level Repair;Drums;English;Esperanto;Graphical Design;Guitar;Java;Journalism;Korean;Linux;Lua;MIPS Assembly;Mathematics;Military;Network Security;Octave;Orchestra;PR;Portuguese;Reading;Server Maintenance;Spanish;Speaking;Translation;Unix;Writing;iOS,Doctorate,26,904306678
40546,Martim Martim Rone,Architecture;Ballet;Biotechnology;C;C#;Chinese;Drums;English;Esperanto;Git;Graphical Design;Guitar;Java;Korean;Lua;MIPS Assembly;Medicine;Military;Network Security;Objective C;Octave;Plumbing;Police;Portuguese;Python;Reading;Server Maintenance;Spanish;Speaking;Translation;Unix;Violin;Windows;iOS,Doctorate,27,453489733
42346,Renee,Architecture;Ballet;Biology;Biotechnology;C;Chinese;Component-level Repair;Drums;English;Esperanto;Git;Guitar;Journalism;Korean;Linux;Lua;MIPS Assembly;Mathematics;Military;Network Security;Objective C;Orchestra;PR;Plumbing;Police;Portuguese;Reading;Server Maintenance;Soldering;Spanish;Translation;Unix;Violin;Windows,Doctorate,23,709516067
43426,Joao Eccles,Architecture;BSD;Ballet;Bash;Bass;Biotechnology;C#;C++;Chinese;Drums;English;Esperanto;Git;Guitar;Japanese;Korean;Lua;MIPS Assembly;MatLab;Medicine;Military;Octave;PR;Plumbing;Police;Portuguese;Python;Reading;Server Maintenance;Soldering;Spanish;Translation;Writing;iOS,Doctorate,25,219595134
43784,Margy,BSD;Bash;Biology;Biotechnology;C;C++;Chinese;Component-level Repair;Drums;English;Esperanto;Git;Graphical Design;Japanese;Journalism;Korean;MIPS Assembly;MatLab;Mathematics;Medicine;Network Security;Objective C;Plumbing;Police;Portuguese;Python;Server Maintenance;Soldering;Spanish;Speaking;Translation;Unix;Writing;iOS,Doctorate,20,712068709
45394,Francesca Domingo,Architecture;BSD;Ballet;Bash;Bass;Biology;C;C#;C++;Chinese;Component-level Repair;English;Esperanto;Git;Guitar;Japanese;Journalism;Linux;Lua;MIPS Assembly;MatLab;Mathematics;Medicine;Network Security;Objective C;Police;Portuguese;Soldering;Spanish;Speaking;Translation;Violin;Windows;iOS,Doctorate,21,239074923
47864,Kathie Sleeper,BSD;Ballet;Bash;Biology;Biotechnology;C#;Chinese;Drums;English;Esperanto;Guitar;Japanese;Java;Journalism;Lua;MIPS Assembly;Mathematics;Medicine;Objective C;Octave;Orchestra;PR;Police;Portuguese;Python;Server Maintenance;Soldering;Spanish;Speaking;Translation;Unix;Windows;Writing;iOS,Doctorate,24,793198839
50656,Renee,Architecture;BSD;Ballet;Biology;C;C++;Chinese;Drums;English;Git;Graphical Design;Guitar;Java;Korean;Linux;MIPS Assembly;MatLab;Medicine;Military;Network Security;Orchestra;PR;Plumbing;Police;Portuguese;Python;Reading;Soldering;Spanish;Speaking;Translation;Unix;Violin;Writing,Doctorate,24,637230340
57292,Arnette,Architecture;Bass;Biology;Biotechnology;C#;C++;Chinese;Component-level Repair;Drums;English;Esperanto;Git;Graphical Design;Japanese;Java;Korean;Lua;MIPS Assembly;MatLab;Medicine;Military;Orchestra;PR;Plumbing;Portuguese;Python;Server Maintenance;Soldering;Spanish;Speaking;Translation;Unix;Windows;Writing,Doctorate,23,837244549
59209,Francesca Deidre,Ballet;Bash;Bass;Biotechnology;C;Chinese;Component-level Repair;Drums;English;Esperanto;Git;Guitar;Japanese;Java;Korean;Linux;Lua;MatLab;Mathematics;Medicine;Military;Orchestra;Plumbing;Portuguese;Python;Reading;Server Maintenance;Soldering;Spanish;Translation;Unix;Windows;Writing;iOS,Doctorate,20,539261788
60353,Boris Margy,Architecture;Ballet;Bash;Bass;Biology;C;C++;Chinese;Component-level Repair;Drums;English;Esperanto;Git;Guitar;Java;Journalism;Korean;Linux;Lua;MatLab;Mathematics;Objective C;Octave;PR;Plumbing;Portuguese;Python;Server Maintenance;Spanish;Speaking;Translation;Violin;Windows;iOS,Doctorate,20,730675945
61343,Eccles Risch Margy Dung,Ballet;Bash;Biotechnology;C;C#;C++;Chinese;English;Esperanto;Git;Graphical Design;Guitar;Japanese;Java;Korean;Linux;Lua;MIPS Assembly;MatLab;Medicine;Military;Network Security;Objective C;Octave;PR;Police;Portuguese;Python;Spanish;Translation;Unix;Violin;Windows;iOS,Doctorate,24,715421101
62245,Kendra Mabon,Architecture;Ballet;Bash;Bass;Biology;Biotechnology;C;C++;Chinese;Component-level Repair;Drums;English;Git;Japanese;Journalism;Korean;MIPS Assembly;Mathematics;Military;Network Security;Objective C;Octave;Orchestra;PR;Plumbing;Police;Portuguese;Python;Reading;Spanish;Translation;Unix;Writing;iOS,Doctorate,21,874922029
62407,Shaunte Neeld,Architecture;Ballet;Bash;Biology;Biotechnology;C;C#;Chinese;Component-level Repair;Drums;English;Esperanto;Git;Graphical Design;Guitar;Japanese;Java;Journalism;Lua;MIPS Assembly;MatLab;Military;Network Security;Octave;Plumbing;Police;Portuguese;Python;Soldering;Spanish;Translation;Violin;Windows;iOS,Doctorate,22,615134235
62803,Shank Renee Margherita,Architecture;BSD;Ballet;Bash;Bass;Biology;C;C++;Chinese;Drums;English;Esperanto;Guitar;Java;Korean;Linux;MIPS Assembly;Mathematics;Medicine;Network Security;Objective C;Orchestra;PR;Plumbing;Portuguese;Python;Reading;Server Maintenance;Spanish;Speaking;Translation;Unix;Writing;iOS,Doctorate,24,781347687
64332,Aletha Risch Evalyn,Architecture;BSD;Ballet;Bass;Biology;Biotechnology;C#;C++;Chinese;Drums;English;Esperanto;Git;Graphical Design;Guitar;Japanese;Java;Journalism;Korean;Lua;MIPS Assembly;Mathematics;Medicine;Objective C;Plumbing;Police;Portuguese;Python;Server Maintenance;Spanish;Translation;Unix;Writing;iOS,Doctorate,22,114926369
67620,Griselia,Architecture;BSD;Bash;Biology;C;C#;Chinese;Drums;English;Esperanto;Graphical Design;Guitar;Japanese;Java;Journalism;Korean;Linux;MIPS Assembly;MatLab;Network Security;Orchestra;PR;Plumbing;Police;Portuguese;Python;Reading;Server Maintenance;Soldering;Spanish;Translation;Violin;Writing;iOS,Doctorate,23,484434203
68616,Sherlene Jose Threet Tegan,Architecture;BSD;Ballet;Bass;Biotechnology;C;C#;C++;Chinese;Component-level Repair;English;Graphical Design;Journalism;Korean;Linux;MIPS Assembly;MatLab;Medicine;Network Security;Objective C;Orchestra;PR;Portuguese;Reading;Server Maintenance;Soldering;Spanish;Speaking;Translation;Unix;Violin;Windows;Writing;iOS,Doctorate,26,233338545
70224,Griselia Deidre,Architecture;BSD;Ballet;Bash;Biotechnology;C;C#;C++;Chinese;English;Esperanto;Graphical Design;Guitar;Journalism;Korean;Linux;Lua;MIPS Assembly;MatLab;Medicine;Military;Network Security;Objective C;PR;Portuguese;Reading;Server Maintenance;Spanish;Speaking;Translation;Unix;Violin;Writing;iOS,Doctorate,25,911203510
72478,Deidre Mario Evalyn Luis,Architecture;BSD;Bash;Biology;Biotechnology;C;C#;C++;Chinese;Component-level Repair;Drums;English;Esperanto;Git;Guitar;Journalism;Linux;MIPS Assembly;Medicine;Octave;Orchestra;Plumbing;Portuguese;Python;Reading;Server Maintenance;Spanish;Speaking;Translation;Unix;Violin;Windows;Writing;iOS,Doctorate,23,939150590
