Average Skill Number:,8.747747747747749,Job:,T
ID,NAME,SKILL NAMES, EDUCATION LEVEL, AGE, PHONE NUMBER
386,Sherlene Driver Simon,BSD;Bass;C#;Drums;Graphical Design;Korean;Linux;Mathematics;PR;Portuguese;Server Maintenance;Unix;Writing,Doctorate,20,120784464
394,Margy,BSD;Bass;C#;C++;English;Japanese;Korean;Lua;MIPS Assembly;PR;Plumbing;Python;Soldering,Doctorate,25,417031861
550,Margy Rone Eccles,Architecture;Bass;C#;Drums;Esperanto;Japanese;Korean;Linux;Medicine;Orchestra;Police;Portuguese;Windows,Doctorate,24,406163037
586,Renee Eccles Folson,Ballet;Bass;Biotechnology;C;C#;English;Japanese;Lua;PR;Police;Reading;Soldering;Speaking,Doctorate,25,545733824
977,Tiara,Bass;Biology;English;Medicine;Military;Objective C;Octave;Plumbing;Python;Reading;Speaking;Unix;Writing,Doctorate,26,002990359
249,Domingo Tiara Kerney Butz,Architecture;Ballet;Bass;Biotechnology;C++;English;Graphical Design;Java;MIPS Assembly;Network Security;Objective C;Plumbing;Violin,Master's Degree,22,227394285
744,Martim Sapien,BSD;Ballet;Bass;C;Git;Java;Linux;MatLab;Orchestra;Python;Soldering;Violin;iOS,Master's Degree,24,430437437
937,Sherlene Renee Joao Aletha,Ballet;Bash;Bass;Biology;Japanese;Linux;Octave;Python;Reading;Soldering;Speaking;Unix;iOS,Master's Degree,21,870459873
38,Birdie Rui Tiara,Bass;C#;English;Journalism;Military;Octave;Orchestra;PR;Plumbing;Police;Portuguese;Soldering;Windows,Bachelor's Degree,24,080708439
67,Jose Wolski,Bash;Bass;Biology;C++;Drums;English;Java;Mathematics;Medicine;Network Security;PR;Portuguese;Reading,Bachelor's Degree,25,920923755
867,Duplantis,Bass;Biology;C++;Drums;English;Git;Linux;MIPS Assembly;Military;Network Security;Orchestra;Soldering;Spanish,Bachelor's Degree,25,506112316
952,Sowards Lettie Arnette,Bash;Bass;Biology;Drums;English;Korean;Lua;Mathematics;Orchestra;Reading;Spanish;Windows;iOS,Bachelor's Degree,22,723969101
992,Rui,Bass;Biology;C++;Component-level Repair;Korean;Lua;MIPS Assembly;PR;Reading;Soldering;Unix;Violin;Windows,Bachelor's Degree,25,928186561
242,Mabon Mash,Bash;Bass;Biology;C#;C++;Japanese;Java;Linux;Lua;MIPS Assembly;Objective C;Portuguese;Speaking,High School,20,059863687
268,Margherita,BSD;Bass;Git;Graphical Design;Java;Journalism;Korean;Lua;Medicine;Military;Orchestra;Python;Unix,High School,24,617544937
645,Shank Wolski Evalyn,Bass;Biotechnology;C#;Guitar;Journalism;Korean;Objective C;Octave;Police;Translation;Unix;Violin;Writing,High School,26,002781149
974,Rui Dipalma Sapien,Bash;Bass;Biology;C++;Journalism;MIPS Assembly;MatLab;Objective C;PR;Portuguese;Translation;Violin;Windows,High School,25,967327248
304,Reda,Bass;Biotechnology;C;C#;English;Japanese;Linux;Plumbing;Police;Portuguese;Python;Violin;iOS,None,25,814606491
331,Kari Rone,Bass;Biology;C#;C++;Drums;Guitar;Java;PR;Police;Python;Soldering;Translation;iOS,None,21,392342974
570,Jorge Butz,Architecture;BSD;Bass;Biology;C#;Git;MatLab;PR;Plumbing;Portuguese;Soldering;Speaking;Windows,None,23,750563558
987,Kellie Jacox,Bass;Biology;Git;Java;Korean;Linux;MatLab;Mathematics;Medicine;Plumbing;Police;Reading;Windows,None,26,568169080
457,Aletha Derek,Bash;Bass;C;C#;Mathematics;Objective C;Reading;Soldering;Spanish;Unix;Windows;iOS,Doctorate,27,346387642
611,Loux,Ballet;Bass;C#;Drums;English;Git;Guitar;Journalism;Korean;Police;Reading;Violin,Doctorate,23,223568909
52,Boris Afonso,Bass;Japanese;Military;Network Security;Objective C;Octave;PR;Portuguese;Soldering;Speaking;Translation;iOS,Master's Degree,21,962368166
200,Ammerman,Bash;Bass;C;Guitar;Java;Lua;Objective C;Octave;Police;Spanish;Speaking;iOS,Master's Degree,24,953477848
314,Kerney Margy,Architecture;BSD;Bass;Biology;Korean;Lua;Military;Portuguese;Speaking;Translation;Violin;Windows,Master's Degree,25,012724863
904,Deidre Neeld Margherita Aronson,BSD;Bash;Bass;C#;Java;MIPS Assembly;Objective C;Octave;Reading;Soldering;Unix;Windows,Master's Degree,23,619796823
717,Buss Neeld Sowards,Architecture;Bass;Biology;C++;Drums;English;Git;Linux;Orchestra;PR;Server Maintenance;Windows,Bachelor's Degree,23,888946951
652,Griselia Reda Birdie,Bass;Biology;C;Component-level Repair;Git;Guitar;Japanese;Korean;Lua;Network Security;Soldering;Unix,High School,21,019256509
908,Ezell Eccles,Ballet;Bash;Bass;C;Graphical Design;Guitar;Journalism;Lua;Medicine;Police;Reading;Speaking,High School,21,123710866
162,Griselia,Bass;Korean;MatLab;Mathematics;Medicine;Network Security;Police;Portuguese;Python;Reading;Translation;Unix,None,24,633781359
769,Derek Mafalda,BSD;Bass;Biology;Component-level Repair;Drums;Git;Graphical Design;Japanese;Medicine;Spanish;Violin;Windows,None,21,364533071
916,Jorge Whitney Francesca Buss,Architecture;BSD;Bash;Bass;C;English;MIPS Assembly;Military;PR;Police;Reading;Speaking,None,23,055110421
296,Duplantis,Bass;C#;C++;Component-level Repair;Drums;Graphical Design;MIPS Assembly;MatLab;Objective C;Octave;Windows,Doctorate,22,960783017
519,Threet Kari,Architecture;Bass;Biology;Esperanto;Java;Lua;Mathematics;Portuguese;Reading;Server Maintenance;Violin,Doctorate,22,663365147
793,Sapien Buss,Architecture;Ballet;Bass;English;Java;Journalism;MIPS Assembly;Mathematics;Police;Server Maintenance;Writing,Master's Degree,21,424579003
235,Deidre Ammerman Eccles Lettie,Bash;Bass;C;Esperanto;Guitar;Japanese;Network Security;PR;Portuguese;Spanish;Windows,Bachelor's Degree,22,529869993
643,Kerney,Bass;Biology;English;Graphical Design;Japanese;Orchestra;Police;Server Maintenance;Soldering;Unix;Windows,Bachelor's Degree,19,227819834
28,Driver Sleeper,Architecture;Ballet;Bass;Graphical Design;Korean;Lua;Objective C;Octave;Python;Spanish;Translation,High School,27,535832233
197,Duplantis Lettie Risch An,BSD;Bash;Bass;Esperanto;Journalism;Linux;Network Security;Objective C;Portuguese;Server Maintenance;Soldering,High School,21,689674237
566,Whitney Aletha Aronson Boris,BSD;Bass;C#;C++;English;Java;Mathematics;Octave;Plumbing;Spanish;Unix,High School,22,354180983
674,Shank Derek,Ballet;Bass;C#;Esperanto;Java;Network Security;Octave;Plumbing;Spanish;Windows;iOS,High School,21,537479122
879,Ammerman Duplantis Matos Derek,Bass;C;C++;Linux;Lua;Military;Server Maintenance;Soldering;Unix;iOS,Master's Degree,21,612429379
1,Martim Ngoc Shaunte,Bass;Drums;Git;Medicine;Orchestra;Plumbing;Server Maintenance;Soldering;Speaking;Windows,Bachelor's Degree,24,749109635
247,Dipalma,Architecture;Bass;Git;Graphical Design;Java;MatLab;Network Security;Orchestra;Plumbing;Spanish,Bachelor's Degree,21,832821582
413,Ammerman Reda Kari,Bass;Biology;Biotechnology;C;Esperanto;Medicine;Military;Network Security;Orchestra;Speaking,Bachelor's Degree,20,228769231
460,Aronson Margy,Architecture;Bash;Bass;Component-level Repair;Esperanto;Guitar;Journalism;Korean;Police;Soldering,Bachelor's Degree,26,190645871
85,Martim Afonso Sapien Dung,Bash;Bass;Biotechnology;Git;Guitar;MatLab;Medicine;Objective C;Orchestra;Python,High School,24,964330962
191,Deidre Loux,Bash;Bass;Korean;MatLab;Military;Python;Soldering;Spanish;Violin;Writing,High School,22,475742578
628,Shaunte,Bass;Biotechnology;C++;Esperanto;Korean;MIPS Assembly;Medicine;Military;Soldering;Spanish,High School,20,413764556
435,Degen Aronson Tegan,Bass;C#;Graphical Design;Japanese;Objective C;Plumbing;Portuguese;Python;Spanish;Translation,Primary School,23,054901381
533,Eccles Sherlene Arnette Rone,Ballet;Bass;Git;Guitar;Lua;MatLab;Mathematics;Objective C;Spanish;Windows,Primary School,26,514650073
486,Whitney Mabon Simon Margherita,BSD;Bass;C#;C++;Component-level Repair;Drums;Journalism;PR;Police;Reading,None,21,716084496
348,Rone Reda Boris Ammerman,BSD;Ballet;Bass;Esperanto;Linux;Military;Objective C;PR;Portuguese,Doctorate,25,299720132
208,Kathie Deidre Kerney Jorge,Bass;C#;Component-level Repair;Guitar;Korean;MIPS Assembly;PR;Python;Windows,Master's Degree,19,638442027
297,Erick,Bass;Biology;Biotechnology;Esperanto;Network Security;Objective C;Reading;Soldering;Writing,Master's Degree,21,172581756
378,Threet Dipalma,Bass;Guitar;Java;Journalism;MIPS Assembly;Mathematics;Objective C;Portuguese;Windows,Master's Degree,23,820661344
445,Kleiner Luis Martim Rone,Bass;Biology;Biotechnology;Drums;Lua;MatLab;Medicine;Reading;Translation,Master's Degree,26,059237466
677,Driver Mario,Ballet;Bass;Component-level Repair;Java;Linux;Lua;Python;Violin;iOS,Master's Degree,24,382465682
713,Lettie Neeld Domingo Driver,Bash;Bass;Esperanto;Java;MatLab;Military;Octave;Violin;Windows,Master's Degree,19,823715953
216,Sleeper Ezell Folson An,Bass;Biology;Drums;Graphical Design;Japanese;Network Security;Plumbing;Writing;iOS,Bachelor's Degree,21,658522666
261,Kerney,Architecture;Bass;C#;Component-level Repair;English;Japanese;Python;Soldering;Writing,Bachelor's Degree,22,139610869
416,Tiara Risch Sowards,Ballet;Bass;Java;MatLab;Military;Plumbing;Police;Soldering;Windows,Bachelor's Degree,26,143328029
638,Jorge,Bass;Biology;C;Component-level Repair;Java;Network Security;Orchestra;Python;Unix,Bachelor's Degree,21,642160939
110,Towsend,Bash;Bass;Biology;English;Mathematics;Objective C;Orchestra;Spanish;Windows,High School,24,088859747
362,Kellie Renee,Bass;Component-level Repair;Git;Graphical Design;Korean;Linux;Windows;Writing;iOS,Primary School,22,407752469
407,Erick Kathie Shank Threet,Bass;Esperanto;Graphical Design;Guitar;Java;Linux;MatLab;Octave;Windows,Primary School,23,863489080
928,Sowards,Bass;Guitar;Korean;Medicine;Network Security;Orchestra;Plumbing;Speaking;Windows,None,22,436805653
25,Dipalma,BSD;Bass;Git;Journalism;MatLab;Medicine;Python;Translation,Doctorate,26,699067107
186,Butz Tegan,Bass;Component-level Repair;Korean;Lua;MatLab;PR;Portuguese;Reading,Master's Degree,23,005104782
497,Driver Rui,Architecture;BSD;Bass;Japanese;Lua;MatLab;Spanish;Violin,Master's Degree,26,115902235
820,Armagost Kerney Tegan Eccles,Bass;C;C#;Linux;Objective C;Octave;Portuguese;Server Maintenance,Master's Degree,23,690133064
934,Mabon Butz,Ballet;Bass;Biotechnology;Drums;Lua;MIPS Assembly;Medicine;Python,Master's Degree,26,846027982
606,Griselia,Bass;Component-level Repair;Drums;English;Journalism;Linux;Python;Reading,Bachelor's Degree,20,588766575
584,Domingo Boris,BSD;Bash;Bass;Component-level Repair;Guitar;Mathematics;Plumbing;Portuguese,High School,20,467819975
891,Driver Mckeighan Tiara Sleeper,BSD;Ballet;Bass;Guitar;Java;Medicine;Objective C;Reading,High School,25,543482481
903,Jacox Kellie Tiara,Ballet;Bass;Esperanto;Japanese;Network Security;Police;Speaking;Writing,High School,26,461976899
942,Kleiner Margherita Rui,Bass;Biology;C;Esperanto;Guitar;Journalism;PR;Portuguese,High School,19,518821118
277,Jorge Sowards Sage,BSD;Ballet;Bass;Biology;Biotechnology;Guitar;Octave;Speaking,Primary School,19,479392040
43,Mafalda Kari Eccles Francesca,Ballet;Bash;Bass;Biology;English;MIPS Assembly;Mathematics;Python,None,22,321889807
119,Sherlene Kleiner,Bass;C#;Component-level Repair;Drums;Lua;Speaking;Translation,Doctorate,19,030581899
294,Deidre Margherita Kendra Kleiner,Architecture;Bass;Component-level Repair;Medicine;Orchestra;PR;Unix,Doctorate,19,540851627
619,Arnette Simon Lettie Kellie,Bash;Bass;Biotechnology;English;Esperanto;MatLab;PR,High School,20,892402872
742,Jorge Buss Duplantis,Bass;Korean;MIPS Assembly;Octave;Reading;Speaking;iOS,High School,20,186191982
944,Kathie Mckeighan,Architecture;Bass;Component-level Repair;Graphical Design;Mathematics;Orchestra;Reading,Primary School,26,764678181
64,Birdie,Bass;Component-level Repair;Objective C;Python;Server Maintenance;Speaking,Doctorate,26,943234117
366,An Rui Domingo,Bash;Bass;Journalism;Medicine;Objective C;Portuguese,Doctorate,25,790515422
824,Margherita Francesca,Architecture;Bass;Biotechnology;Mathematics;Octave;Violin,Doctorate,23,183645180
722,Dung,BSD;Bass;Korean;Octave;Speaking;iOS,Bachelor's Degree,22,380616070
73,Sowards Margy Folson Margy,Bass;Lua;Mathematics;Objective C;Spanish;Unix,High School,24,847666923
118,Jacox,Bass;Journalism;Objective C;Reading;Violin;iOS,Primary School,23,353847622
189,Mario Eccles Kari Mash,Ballet;Bash;Bass;Biotechnology;Unix;Windows,Primary School,21,843285802
568,Kathie,Bass;Biology;Drums;Journalism;Linux;Plumbing,Primary School,26,607272168
229,Rone Kendra,Bash;Bass;C#;Police;Python;Speaking,None,25,324427834
395,Whitney Aronson Armagost Degen,Bass;English;Guitar;Java;Objective C;Writing,None,21,007855474
463,Sherlene Ngoc Towsend,Architecture;Bass;English;Java;Korean;MatLab,None,25,018541983
505,Kerney Buss,Bass;Biotechnology;Graphical Design;Linux;Lua;Windows,None,26,722713883
41,Loux,Bass;Graphical Design;Linux;Octave;Writing,Doctorate,23,923572952
698,Shank Francesca Tiara Kerney,Bash;Bass;Linux;MIPS Assembly;Plumbing,Doctorate,20,285394499
800,Sowards Simon,Bash;Bass;Java;Network Security;Octave,Bachelor's Degree,23,180033605
259,Margherita Griselia,Bass;Drums;Military;Speaking;Writing,High School,23,863911476
531,Boris Joao,Bass;Component-level Repair;Guitar;Portuguese;Python,Primary School,24,947146066
532,Renee Rui,Bass;Korean;Portuguese;Soldering;Writing,Primary School,19,611301451
658,Lettie Degen Mckeighan,Bass;Linux;Python;Soldering;Unix,Primary School,23,536016883
727,Aletha Domingo Afonso,Bass;Java;MIPS Assembly;Octave,Doctorate,21,300713312
912,Luis,Ballet;Bass;Japanese;Network Security,Doctorate,20,244421941
888,Sowards Tegan Shank Rone,Bass;Octave;Python;Reading,Master's Degree,23,324275683
585,Buss Ngoc Afonso,Bass;Git;MIPS Assembly;Police,Bachelor's Degree,21,591556791
962,Margy,Bass;C;C#;Linux,Bachelor's Degree,23,382116620
473,Buss,Bash;Bass;Git;Python,Primary School,23,914533746
940,Aronson Jennell Renee Neeld,Bash;Bass;Portuguese;Reading,Primary School,25,722147854
972,Butz Simon Degen,Bass;English;Lua;Plumbing,Primary School,26,938299353
397,Joao Mario Ezell Margy,Bass;Drums;Journalism,Doctorate,21,414741651
45,Folson Buss,Ballet;Bass;Reading,Master's Degree,24,736695371
391,Derek Aronson Jose,Bass;Biotechnology;MIPS Assembly,None,20,496611270
561,Arnette Loux Sapien,Bass;Mathematics;Portuguese,None,21,851484553
307,Ngoc Arnette Sowards Afonso,Bass;Spanish,Doctorate,22,411583351
30,Matos Afonso Dipalma Eccles,Bass,Bachelor's Degree,22,416918565
469,Jacox Kathie Eccles,C;C#;C++;Chinese;Drums;Guitar;MIPS Assembly;Python;Server Maintenance;Soldering;Translation;Unix;Violin,Doctorate,20,087473218
324,Risch Armagost,Biology;Chinese;Component-level Repair;Git;Guitar;Journalism;Linux;Medicine;Police;Python;Soldering;Spanish;Windows,Master's Degree,26,308062869
388,Towsend Joao,Ballet;Bash;Chinese;English;Graphical Design;Japanese;Korean;Linux;Police;Python;Reading;Translation;Windows,Master's Degree,23,861100987
770,Degen Simon,C;Chinese;Component-level Repair;Graphical Design;Japanese;Lua;MIPS Assembly;Mathematics;Octave;Orchestra;PR;Police;Writing,Master's Degree,21,927124517
129,Degen,Ballet;C#;Chinese;Drums;Esperanto;Git;MIPS Assembly;MatLab;Medicine;Network Security;Plumbing;Server Maintenance;Translation,High School,26,632458865
234,Buss,C;C#;C++;Chinese;Component-level Repair;Git;Linux;MatLab;Mathematics;Octave;Orchestra;Python;Unix,High School,26,261959075
911,Jorge Mario Lettie Ezell,BSD;Ballet;Biotechnology;Chinese;Component-level Repair;Lua;Network Security;Objective C;Octave;Server Maintenance;Translation;Writing;iOS,High School,20,052341650
58,Mafalda Jacox,Ballet;Biology;Chinese;English;Esperanto;Lua;MIPS Assembly;Octave;Orchestra;Police;Python;Unix;Windows,Primary School,22,348763813
344,Ammerman,Ballet;C;C++;Chinese;Component-level Repair;Java;Journalism;Linux;Plumbing;Portuguese;Python;Translation;Writing,Primary School,21,621727921
383,Kellie Joao Sherlene,Architecture;Ballet;Biotechnology;C;C#;C++;Chinese;Graphical Design;Plumbing;Python;Spanish;Translation;Writing,None,20,981694672
430,Risch,Bash;C++;Chinese;English;Guitar;Linux;Mathematics;Police;Portuguese;Server Maintenance;Soldering;Translation;Writing,None,22,847835506
709,Wolski Kathie Joao,C#;Chinese;Graphical Design;Korean;Lua;Octave;Orchestra;Police;Reading;Speaking;Translation;Unix;Windows,None,26,973998161
811,Sherlene Mash Tiara Griselia,Biotechnology;C#;Chinese;Drums;Lua;MatLab;Mathematics;Octave;Plumbing;Portuguese;Python;Speaking;Translation,None,23,365960378
5,Sowards Rui Kleiner,Architecture;Biotechnology;Chinese;Component-level Repair;Esperanto;MIPS Assembly;MatLab;Octave;Plumbing;Police;Speaking;Unix,Bachelor's Degree,22,637535685
648,An Joao Kellie,BSD;Ballet;Chinese;Japanese;Journalism;MatLab;Network Security;PR;Police;Portuguese;Speaking;Translation,Bachelor's Degree,24,266688431
812,Kerney Tiara Erick Folson,C;Chinese;Guitar;Java;Objective C;Orchestra;Police;Portuguese;Soldering;Violin;Windows;Writing,Bachelor's Degree,22,029346484
102,Degen Ammerman Threet,Bash;Biotechnology;C;C#;Chinese;Git;Journalism;MatLab;Mathematics;Military;Server Maintenance;iOS,High School,21,128611950
472,Rone,Chinese;Component-level Repair;Linux;MIPS Assembly;Network Security;Octave;PR;Plumbing;Spanish;Translation;Windows;Writing,High School,20,818481339
546,Rone,Biotechnology;Chinese;English;Git;Graphical Design;Korean;MatLab;Network Security;PR;Speaking;Unix;iOS,High School,20,571866811
602,Eccles,Architecture;Chinese;English;Esperanto;Korean;Octave;Police;Soldering;Spanish;Speaking;Windows;iOS,High School,24,757728379
921,Degen,Ballet;Biology;C#;Chinese;Korean;Linux;Orchestra;Plumbing;Portuguese;Python;Translation;Violin,High School,24,044091660
211,Griselia Aronson,Bash;C#;C++;Chinese;Git;Japanese;Korean;Linux;MatLab;Plumbing;Portuguese;Unix,Primary School,24,394980603
455,Tegan,BSD;Chinese;English;Esperanto;Git;Java;Korean;Linux;Lua;Python;Speaking;Violin,Primary School,27,023027739
760,Erick,Architecture;Biology;Chinese;Component-level Repair;Journalism;Lua;Network Security;Orchestra;Server Maintenance;Unix;Writing;iOS,None,20,624613384
121,Birdie Derek,C++;Chinese;Component-level Repair;Java;Korean;Lua;MatLab;Orchestra;PR;Police;Windows,Doctorate,21,175544091
267,Joao,Ballet;Biotechnology;Chinese;Esperanto;Git;Korean;MIPS Assembly;Octave;Police;Reading;Violin,Doctorate,20,724408997
792,Mafalda,Bash;C;Chinese;English;Linux;Plumbing;Portuguese;Python;Translation;Violin;Windows,Bachelor's Degree,23,521816199
909,Ezell Joao Ngoc Driver,BSD;Bash;C++;Chinese;Esperanto;Journalism;Medicine;Reading;Translation;Unix;Violin,Bachelor's Degree,23,274965688
960,Reda Duplantis Shank,Biology;Chinese;Git;Guitar;Korean;Lua;MIPS Assembly;Military;Objective C;Portuguese;iOS,Bachelor's Degree,22,740724796
754,Domingo Mario Sleeper Deidre,Ballet;Bash;C++;Chinese;Git;Japanese;Octave;Reading;Spanish;Violin;Windows,High School,26,389254917
308,Lettie Erick,C#;Chinese;Esperanto;Japanese;Lua;Octave;Orchestra;Police;Python;Violin;Writing,Primary School,22,450962084
329,Sage Sherlene,Ballet;Chinese;Git;Journalism;MatLab;Mathematics;Octave;Police;Server Maintenance;Soldering;Writing,Primary School,22,472216061
664,Jacox Sapien Towsend Kellie,Architecture;BSD;Ballet;Chinese;Component-level Repair;English;Mathematics;Orchestra;Spanish;Violin;Windows,Primary School,21,804932711
232,Simon Aletha,Biology;Chinese;Drums;Graphical Design;Journalism;Medicine;Military;Objective C;Octave;PR;Translation,None,26,243654407
635,Margy,C#;Chinese;Component-level Repair;Journalism;MatLab;Mathematics;Orchestra;PR;Unix;Violin,Master's Degree,27,114959994
682,Kleiner,Ballet;Biology;C;C#;Chinese;Lua;MatLab;Octave;Plumbing;Soldering,Master's Degree,24,887834459
321,Arnette Kellie Buss,BSD;Ballet;Biology;Chinese;Esperanto;Git;Korean;Objective C;PR;Police,Bachelor's Degree,22,294651852
963,Francesca Tegan Arnette Jorge,Bash;Biology;Chinese;Git;Japanese;Lua;Octave;Soldering;Translation;iOS,Bachelor's Degree,22,121058032
192,Mario Mario,Bash;C;Chinese;Japanese;Linux;Medicine;Network Security;Speaking;Violin;Writing,High School,22,868374023
569,Aronson,Biology;Biotechnology;C#;Chinese;Esperanto;MatLab;Military;PR;Portuguese;Python,High School,24,776009609
436,Jennell Afonso Sapien An,C;C#;Chinese;English;Graphical Design;Journalism;Linux;Mathematics;Reading;iOS,Primary School,21,752399072
539,Lettie Butz Butz,C;C++;Chinese;MatLab;Mathematics;Military;Soldering;Windows;Writing;iOS,Primary School,23,844077193
804,Kellie Evalyn Joao Loux,Biotechnology;Chinese;English;Journalism;Network Security;Plumbing;Reading;Speaking;Writing;iOS,Primary School,24,381871287
17,Joao Derek,Architecture;C;Chinese;Esperanto;Git;Java;Korean;MatLab;Translation;iOS,None,20,542408001
517,Matos Francesca,Biology;C;Chinese;Component-level Repair;Esperanto;Journalism;Military;Orchestra;Spanish;Windows,None,26,467678053
625,Griselia Griselia,Biotechnology;Chinese;English;Git;Octave;PR;Police;Reading;Server Maintenance;iOS,None,20,139898545
53,Mash Towsend Eccles Erick,C#;Chinese;Esperanto;Java;Korean;Linux;Police;Translation;Unix,Doctorate,26,344786176
69,Risch,C;C#;Chinese;Drums;Esperanto;Lua;Python;Server Maintenance;Soldering,Master's Degree,21,893654246
93,Dipalma Luis Derek Wolski,Bash;C#;Chinese;Medicine;Military;Network Security;Octave;Police;Translation,Master's Degree,19,749301058
150,Butz,Ballet;C;Chinese;Esperanto;Graphical Design;Linux;Military;Objective C;Orchestra,Master's Degree,26,536431173
583,Aronson,Biotechnology;Chinese;Esperanto;Medicine;Plumbing;Police;Python;Server Maintenance;Writing,Master's Degree,26,895345339
728,Degen Ammerman Butz Mabon,Bash;Biology;C++;Chinese;Component-level Repair;Git;Military;Portuguese;Translation,Bachelor's Degree,21,719761608
768,Domingo Arnette Rone Simon,C++;Chinese;Graphical Design;Lua;MatLab;Portuguese;Spanish;Writing;iOS,Bachelor's Degree,24,462260252
285,Martim Afonso,C++;Chinese;Graphical Design;Lua;Objective C;Orchestra;Plumbing;Portuguese;iOS,High School,22,912617467
474,Kleiner Afonso,Biotechnology;Chinese;PR;Plumbing;Portuguese;Soldering;Speaking;Translation;Violin,High School,24,373924452
966,Dipalma Mario,Biology;Biotechnology;C;Chinese;Git;Journalism;Lua;Military;Portuguese,High School,19,579209793
555,Joao Renee,C++;Chinese;Component-level Repair;Esperanto;MatLab;Orchestra;PR;Soldering;Unix,Primary School,19,281681995
590,Deidre Kathie Birdie Kerney,BSD;Biology;Chinese;Mathematics;Server Maintenance;Speaking;Violin;Windows;iOS,Primary School,24,360170087
529,Simon Wolski Luis,Biology;Chinese;English;Journalism;Medicine;Network Security;Portuguese;Unix;iOS,None,26,032786730
485,Eccles Aronson Jennell,Architecture;C#;Chinese;Esperanto;Linux;Reading;Spanish;iOS,Doctorate,24,998397400
989,Towsend Kleiner,C#;Chinese;Java;Medicine;Military;Objective C;Orchestra;Speaking,Master's Degree,25,340047033
422,Afonso Rui Folson Driver,Architecture;Chinese;Java;PR;Police;Server Maintenance;Spanish;Translation,Bachelor's Degree,22,214724255
581,Alexandre Shaunte,C#;Chinese;Component-level Repair;Git;MIPS Assembly;Network Security;Reading;Violin,Bachelor's Degree,23,290976246
617,Whitney Afonso,C++;Chinese;Component-level Repair;Journalism;Korean;Network Security;Octave;Violin,High School,20,522598273
994,Whitney,Chinese;Component-level Repair;English;Korean;Octave;PR;Python;Server Maintenance,High School,25,184087620
281,Buss Domingo Renee Joao,Bash;Chinese;Esperanto;Graphical Design;Japanese;Military;Portuguese;Windows,Primary School,19,087317393
783,Mash Domingo Mario,Chinese;Esperanto;Git;Guitar;Japanese;Korean;Plumbing;Violin,Primary School,21,802611620
