Average Skill Number:,27.836108028116907,Job:,T
ID,NAME,SKILL NAMES, EDUCATION LEVEL, AGE, PHONE NUMBER
1767,Sage,BSD;Bash;Bass;Biology;C;C#;C++;Chinese;Drums;English;Esperanto;Git;Japanese;Java;Journalism;Korean;Linux;Lua;MIPS Assembly;MatLab;Objective C;Octave;PR;Police;Portuguese;Python;Reading;Server Maintenance;Soldering;Speaking;Translation;Unix;Violin;Windows,Doctorate,26,531840780
2263,Francesca Mabon Shank,Architecture;BSD;Ballet;Bash;Bass;Biology;Biotechnology;C;C#;C++;Chinese;Component-level Repair;Drums;English;Git;Graphical Design;Guitar;Java;Journalism;MIPS Assembly;MatLab;Mathematics;Medicine;Military;Octave;PR;Portuguese;Python;Server Maintenance;Soldering;Spanish;Speaking;Unix;iOS,Doctorate,23,838400621
2430,Buss An Francesca Degen,Architecture;Ballet;Bash;Bass;Biology;C;C#;C++;Chinese;Component-level Repair;English;Esperanto;Git;Graphical Design;Japanese;Java;Journalism;Korean;MIPS Assembly;MatLab;Mathematics;Medicine;Military;Network Security;Objective C;PR;Plumbing;Spanish;Speaking;Translation;Violin;Windows;Writing;iOS,Doctorate,21,999099438
4336,Rui Alexandre Mash,Architecture;BSD;Bash;Bass;C#;C++;Chinese;Drums;Esperanto;Git;Graphical Design;Guitar;Japanese;Java;Korean;Lua;MIPS Assembly;MatLab;Mathematics;Military;Network Security;Objective C;Octave;PR;Police;Python;Reading;Server Maintenance;Spanish;Speaking;Translation;Unix;Violin;Windows,Doctorate,19,544105201
4380,Afonso Kendra,Architecture;Ballet;Bash;Bass;Biology;C;C#;C++;Chinese;Component-level Repair;English;Git;Graphical Design;Guitar;Java;Journalism;Linux;Lua;MIPS Assembly;MatLab;Military;Objective C;Octave;Orchestra;PR;Plumbing;Police;Portuguese;Python;Spanish;Translation;Unix;Windows;iOS,Doctorate,22,851791786
5351,Mario,BSD;Bash;Bass;Biology;Biotechnology;C#;C++;Chinese;Component-level Repair;Drums;Guitar;Japanese;Java;Journalism;Korean;Linux;Lua;MIPS Assembly;MatLab;Medicine;Military;Network Security;Objective C;Octave;PR;Police;Portuguese;Python;Reading;Spanish;Speaking;Translation;Windows;Writing,Doctorate,26,640857281
5742,Folson Armagost,Ballet;Bash;Bass;Biology;Biotechnology;C;C++;Chinese;Component-level Repair;Drums;English;Esperanto;Git;Graphical Design;Java;Journalism;Korean;Linux;Lua;MIPS Assembly;MatLab;Medicine;Military;Network Security;Octave;Orchestra;PR;Plumbing;Python;Reading;Soldering;Spanish;Unix;iOS,Doctorate,20,269291026
6125,Loux Jennell Whitney Driver,Architecture;Ballet;Bash;Bass;Biology;Biotechnology;C;C#;Chinese;Drums;Esperanto;Git;Graphical Design;Japanese;Java;Korean;MIPS Assembly;Mathematics;Medicine;Network Security;Objective C;Orchestra;Police;Portuguese;Python;Reading;Server Maintenance;Soldering;Speaking;Translation;Unix;Violin;Windows;iOS,Doctorate,23,438581722
6536,Kathie,Architecture;Ballet;Bash;Bass;C;C#;C++;Chinese;Component-level Repair;Drums;English;Git;Graphical Design;Guitar;Japanese;Java;Journalism;Korean;Lua;MIPS Assembly;MatLab;Medicine;Military;Network Security;Police;Portuguese;Python;Reading;Soldering;Translation;Unix;Windows;Writing;iOS,Doctorate,21,611516689
7103,Eccles Matos Margherita Threet,BSD;Bass;Biology;Biotechnology;C#;Chinese;Component-level Repair;English;Git;Graphical Design;Japanese;Java;Journalism;Korean;Linux;MatLab;Mathematics;Medicine;Military;Network Security;Objective C;Octave;Orchestra;PR;Plumbing;Police;Portuguese;Reading;Server Maintenance;Speaking;Translation;Unix;Violin;Writing,Doctorate,26,853810400
7625,Kari Lettie Reda,BSD;Bash;Bass;Biotechnology;C;C#;C++;Chinese;Component-level Repair;English;Esperanto;Guitar;Japanese;Java;Journalism;Korean;Lua;MIPS Assembly;Mathematics;Medicine;Military;Network Security;Octave;Orchestra;PR;Plumbing;Portuguese;Python;Reading;Server Maintenance;Spanish;Violin;Windows;Writing,Doctorate,19,470532747
8674,Joao,Ballet;Bass;Biotechnology;C;C++;Chinese;Component-level Repair;Drums;English;Esperanto;Git;Graphical Design;Japanese;Java;Journalism;Korean;Linux;Lua;MatLab;Medicine;Military;Objective C;Octave;Orchestra;Python;Reading;Server Maintenance;Soldering;Spanish;Speaking;Translation;Unix;Violin;Windows,Doctorate,22,924098754
9231,Tiara,Architecture;Ballet;Bash;Bass;Biology;Biotechnology;C;C#;Chinese;Component-level Repair;Drums;English;Esperanto;Graphical Design;Japanese;Java;Journalism;Korean;Linux;Lua;MatLab;Mathematics;Medicine;Military;Orchestra;Python;Server Maintenance;Soldering;Speaking;Translation;Unix;Violin;Windows;Writing,Doctorate,24,482129715
9439,Kendra Mash Afonso Afonso,BSD;Ballet;Bash;Bass;Biology;C;C#;C++;Chinese;Drums;English;Git;Guitar;Japanese;Java;Journalism;Korean;Linux;Lua;MatLab;Mathematics;Military;Network Security;Objective C;Plumbing;Portuguese;Reading;Server Maintenance;Spanish;Speaking;Unix;Violin;Windows;iOS,Doctorate,25,824910915
